kinase (phosphatase)	phos/deph	substrate
5533	deph	6554
5500	deph	9611
249	deph	8332
5499	deph	672
5777	deph	1500
993	deph	1019
5516	deph	8352
5530	deph	4137
5499	deph	995
5795	deph	1500
5777	deph	10725
5499	deph	6261
248	deph	8969
5515	deph	3551
5530	deph	572
5500	deph	835
5516	deph	6788
5795	deph	6714
5515	deph	8312
5530	deph	2002
5795	deph	5159
54704	deph	4086
5536	deph	22858
85464	deph	1072
5516	deph	2571
10217	deph	5925
29085	deph	8294
29085	deph	8362
5499	deph	7139
52	deph	5747
5516	deph	29127
8555	deph	994
5515	deph	3688
52	deph	7535
5501	deph	8356
5533	deph	84152
5788	deph	8631
5770	deph	5159
5494	deph	4086
5515	deph	4744
5515	deph	8877
5515	deph	8355
5516	deph	6198
8556	deph	387893
5501	deph	7139
10217	deph	4087
2138	deph	5430
11221	deph	1432
11156	deph	4691
54434	deph	11034
23035	deph	5578
5533	deph	2571
5494	deph	1938
5771	deph	142685
5533	deph	1785
5770	deph	6778
5515	deph	84433
52	deph	2167
5515	deph	9564
5515	deph	815
5501	deph	835
5494	deph	9578
5501	deph	572
5501	deph	5894
8493	deph	3014
5494	deph	5608
5781	deph	3667
5500	deph	7157
5516	deph	6714
5516	deph	5594
5515	deph	8357
151742	deph	4217
152926	deph	593
11156	deph	3688
5530	deph	2572
5516	deph	11200
5515	deph	5894
5499	deph	1454
5802	deph	4914
5802	deph	1956
5532	deph	6554
5781	deph	2549
5500	deph	4137
80824	deph	5602
5533	deph	283455
1843	deph	5595
93650	deph	2066
5515	deph	6788
5515	deph	139728
23239	deph	5578
5781	deph	4216
5516	deph	8312
5777	deph	6098
5770	deph	1796
5795	deph	5594
5515	deph	816
5515	deph	7408
5494	deph	1025
5515	deph	11200
5777	deph	3932
5797	deph	100528016
5500	deph	5587
5771	deph	6774
5787	deph	4233
5499	deph	4155
10106	deph	4086
11156	deph	3925
11072	deph	1432
5500	deph	5925
5803	deph	119
25930	deph	1499
5500	deph	995
10106	deph	4087
5516	deph	9564
11122	deph	5829
5786	deph	2534
1852	deph	5599
8556	deph	994
5771	deph	3791
5494	deph	8476
5494	deph	6416
5770	deph	6774
5777	deph	3815
5501	deph	8312
7957	deph	2932
5500	deph	5778
1843	deph	5599
5777	deph	100528016
5516	deph	4155
5787	deph	3791
84867	deph	2534
5499	deph	5610
11122	deph	100528016
29085	deph	554313
5516	deph	139728
5515	deph	572
5516	deph	6789
5516	deph	8351
5771	deph	4233
5788	deph	919
5777	deph	9846
5499	deph	10768
248	deph	948
5777	deph	4067
5500	deph	10320
5516	deph	6197
5515	deph	1017
