Transition_ID	Relation	Left	Right
T373	phos	10298	23367
T374	phos	131890	6010
T375	phos	7477	11211
T376	phos	131890	10663
T377	phos	3601	3718
T378	phos	5578	26000
T379	phos	157	26339
T380	phos	157	127385
T381	phos	2872	1977
T382	phos	9212	84254
T383	phos	51086	1616
T384	deph	1852	1432
T385	phos	9263	84153
T386	phos	5599	7534
T387	phos	10783	9126
T388	phos	9175	55796
T389	phos	5594	6256
T390	phos	898	51529
T391	phos	817	5594
T392	phos	2870	3577
T393	phos	1452	55616
T394	phos	157	79295
T395	phos	55681	7531
T396	phos	5603	2005
T397	phos	8550	8853
T398	deph	5522	10000
T399	phos	4882	11163
T400	phos	157	81392
T401	phos	5563	2309
T402	phos	157	283162
T403	deph	249	8332
T404	deph	5500	59284
T405	phos	1432	1385
T406	phos	57118	55616
T407	phos	29110	7531
T408	phos	5566	2790
T409	deph	55844	779
T410	phos	2260	5594
T411	phos	6885	1975
T412	phos	1196	10923
T413	deph	5500	5257
T414	phos	817	55799
T415	deph	85464	1072
T416	phos	5578	3265
T417	deph	89801	2998
T418	deph	55012	782
T419	deph	5526	785
T420	phos	5600	8550
T421	phos	51231	84107
T422	phos	8550	8805
T423	phos	7006	5336
T424	deph	5507	5261
T425	phos	5562	6300
T426	phos	5571	2308
T427	deph	5516	778
T428	phos	5567	51764
T429	phos	157	143503
T430	phos	6792	5580
T431	deph	5792	3667
T432	phos	4752	27254
T433	phos	84254	2274
T434	phos	284086	55616
T435	phos	8491	4214
T436	phos	9212	55320
T437	phos	2042	8853
T438	phos	2931	23367
T439	phos	5567	55970
T440	phos	10420	1111
T441	phos	131890	154
T442	phos	8325	2776
T443	deph	5515	5894
T444	deph	5802	4914
T445	phos	5598	9330
T446	phos	5613	648044
T447	phos	369	9552
T448	phos	5594	9586
T449	phos	1196	9533
T450	phos	5590	302
T451	phos	5567	64764
T452	phos	2932	602
T453	deph	5797	100528016
T454	phos	26524	25937
T455	phos	5595	4087
T456	deph	8555	51529
T457	phos	4914	25759
T458	deph	89801	801
T459	phos	3611	10000
T460	phos	7479	8324
T461	phos	7048	10011
T462	phos	1025	9324
T463	phos	3055	5291
T464	deph	5501	8312
T465	phos	4233	4776
T466	phos	5568	6546
T467	phos	54899	2768
T468	phos	157	390439
T469	phos	5563	2475
T470	phos	6093	3984
T471	deph	5507	163688
T472	phos	5602	4303
T473	deph	248	948
T474	phos	157	26212
T475	phos	207	6224
T476	phos	207	4194
T477	phos	6196	4193
T478	phos	4882	5687
T479	phos	5603	4303
T480	phos	1432	10891
T481	phos	11213	7812
T482	phos	5567	54331
T483	phos	1022	57472
T484	deph	1843	5602
T485	phos	22983	2869
T486	phos	369	6635
T487	phos	7479	8325
T488	phos	1019	311
T489	phos	5613	59345
T490	phos	3455	3718
T491	deph	5526	779
T492	phos	204851	660
T493	phos	7477	2535
T494	deph	5516	27092
T495	deph	5521	782
T496	phos	7297	5294
T497	phos	5582	22808
T498	phos	5294	5747
T499	phos	5894	100287932
T500	deph	5518	5584
T501	phos	4914	10019
T502	phos	2042	11178
T503	phos	6196	4893
T504	phos	1019	4776
T505	deph	5516	8358
T506	phos	147746	3059
T507	deph	5519	286151
T508	phos	27148	127933
T509	phos	9475	5501
T510	phos	5595	2309
T511	phos	8851	4137
T512	phos	5058	6416
T513	phos	805	5834
T514	phos	9263	10290
T515	phos	207	4303
T516	phos	3563	3718
T517	phos	5881	5599
T518	phos	5567	6331
T519	phos	6789	5187
T520	deph	192111	10059
T521	phos	85366	5599
T522	phos	157	219453
T523	phos	207	468
T524	phos	207	1025
T525	deph	5728	6464
T526	phos	4751	5687
T527	phos	816	995
T528	phos	6885	6118
T529	phos	5566	2904
T530	phos	1457	91661
T531	deph	5520	207
T532	phos	8798	56478
T533	phos	157	338674
T534	phos	4145	4188
T535	phos	157	26219
T536	phos	5567	784
T537	phos	5594	6654
T538	phos	91807	93408
T539	phos	157	219983
T540	phos	5593	84699
T541	phos	5568	27091
T542	deph	5516	9254
T543	phos	5578	302
T544	phos	9263	7072
T545	deph	28227	10368
T546	phos	8428	7458
T547	phos	1326	84254
T548	phos	3480	5291
T549	phos	11329	9775
T550	phos	23012	6945
T551	deph	1845	5602
T552	phos	7048	7319
T553	phos	2268	4691
T554	phos	1457	5601
T555	phos	7484	8321
T556	phos	1459	11244
T557	phos	6300	3316
T558	phos	207	64764
T559	phos	83931	25898
T560	phos	1196	10657
T561	deph	5501	6790
T562	deph	5521	55799
T563	phos	8798	84254
T564	deph	55012	93589
T565	deph	5518	784
T566	phos	9252	55616
T567	phos	3643	53358
T568	phos	5616	7514
T569	phos	6885	5604
T570	phos	131890	1234
T571	phos	5567	490
T572	phos	5566	2786
T573	phos	5598	23244
T574	phos	9475	3985
T575	phos	6197	3845
T576	phos	5058	79844
T577	phos	9212	80095
T578	deph	28227	784
T579	phos	157	219869
T580	phos	5579	51764
T581	phos	80326	8322
T582	phos	1195	6732
T583	phos	5602	8660
T584	phos	780	10152
T585	phos	7301	602
T586	phos	6197	2353
T587	phos	91	4088
T588	phos	1147	100132074
T589	deph	54704	4086
T590	phos	2771	5599
T591	phos	7481	8321
T592	phos	5292	1831
T593	phos	6733	1975
T594	phos	5568	2792
T595	phos	5606	5600
T596	phos	2260	6197
T597	phos	9149	2077
T598	phos	818	784
T599	phos	1454	55796
T600	phos	6794	9667
T601	deph	5515	5970
T602	phos	5595	27330
T603	phos	5599	2309
T604	phos	10110	2309
T605	phos	5566	477
T606	phos	5568	3991
T607	phos	2869	154
T608	phos	1147	8660
T609	deph	5532	25847
T610	phos	5595	6868
T611	deph	4660	10627
T612	phos	84254	1195
T613	phos	207	1647
T614	phos	6093	23396
T615	phos	658	4093
T616	phos	10746	5608
T617	phos	1019	84107
T618	phos	1020	7791
T619	phos	2868	2826
T620	phos	5613	486
T621	phos	5594	8048
T622	deph	5515	84152
T623	phos	207	6256
T624	phos	3643	8660
T625	deph	5521	779
T626	phos	8798	23589
T627	phos	5562	5566
T628	deph	5495	1068
T629	phos	7048	94104
T630	phos	6558	5567
T631	phos	157	79473
T632	phos	2263	1398
T633	phos	1020	1465
T634	phos	369	5595
T635	phos	6198	5511
T636	phos	3454	7297
T637	phos	6885	4188
T638	phos	5600	3727
T639	phos	5582	59345
T640	deph	5515	3014
T641	phos	5871	10963
T642	phos	5058	9775
T643	phos	1147	4303
T644	phos	660	9322
T645	phos	6196	5511
T646	phos	56924	5604
T647	phos	7474	2535
T648	phos	5595	2017
T649	phos	10783	4194
T650	phos	7301	660
T651	deph	5515	8351
T652	phos	2931	8853
T653	phos	5601	3397
T654	phos	157	441669
T655	phos	7472	8322
T656	phos	6093	54776
T657	phos	147746	84254
T658	phos	4145	2268
T659	phos	5578	7812
T660	phos	5747	25759
T661	deph	10217	4087
T662	phos	5599	25946
T663	phos	157	4994
T664	phos	2268	51008
T665	phos	8550	8048
T666	deph	4660	4633
T667	phos	5610	5347
T668	phos	5566	6330
T669	phos	7297	6773
T670	phos	2268	10657
T671	phos	7048	5599
T672	deph	1844	6300
T673	deph	5500	2997
T674	deph	5516	5590
T675	phos	55681	83988
T676	phos	1457	3066
T677	phos	2931	898
T678	phos	65018	84254
T679	phos	3845	6300
T680	phos	658	84254
T681	phos	157	282770
T682	phos	9475	4636
T683	phos	894	5933
T684	deph	5501	10398
T685	deph	1845	5594
T686	phos	6237	5595
T687	deph	5527	785
T688	phos	5347	996
T689	phos	23533	2932
T690	phos	1019	5702
T691	deph	5501	2892
T692	phos	5567	5502
T693	phos	4752	378708
T694	phos	7189	5601
T695	phos	6885	9020
T696	phos	1459	3054
T697	phos	5567	27092
T698	phos	157	10663
T699	phos	5063	340156
T700	phos	131890	2833
T701	phos	3643	3667
T702	phos	5578	57407
T703	phos	6198	4775
T704	phos	2268	9775
T705	phos	1457	2764
T706	phos	5347	675
T707	phos	157	56656
T708	phos	1022	5000
T709	phos	85366	10398
T710	phos	3643	399694
T711	phos	657	1965
T712	phos	6794	53632
T713	phos	1022	55869
T714	deph	5529	783
T715	phos	2011	11238
T716	phos	65125	55616
T717	phos	7482	8323
T718	phos	9475	103910
T719	deph	5521	51135
T720	phos	8986	7791
T721	deph	5500	207
T722	phos	5566	2770
T723	phos	150094	1398
T724	phos	6093	79837
T725	phos	4914	399694
T726	deph	23035	207
T727	phos	5599	6117
T728	phos	3566	7297
T729	deph	5507	5256
T730	deph	5532	64682
T731	deph	5529	10368
T732	phos	23678	2309
T733	phos	1019	4998
T734	phos	5595	4170
T735	phos	4140	5528
T736	phos	5579	2787
T737	deph	11156	9564
T738	phos	11200	326
T739	phos	5594	27330
T740	phos	5747	7791
T741	phos	6198	8871
T742	phos	57761	4776
T743	phos	9252	6258
T744	phos	3594	3718
T745	phos	5582	3265
