kinase (phosphatase)	phos/deph	substrate
1020	phos	10848
2932	phos	5970
6198	phos	11331
156	phos	4160
1454	phos	11244
2534	phos	55616
2869	phos	7458
5585	phos	7533
207	phos	57099
5563	phos	127933
5595	phos	4155
660	phos	5579
29110	phos	7117
4067	phos	3306
6850	phos	4673
7048	phos	5316
7465	phos	3059
5595	phos	1956
5601	phos	8550
4296	phos	84254
5601	phos	11244
5747	phos	53358
2264	phos	23589
2263	phos	4938
4067	phos	9112
8576	phos	8607
8428	phos	7019
2534	phos	4133
5894	phos	140809
10188	phos	127933
8444	phos	1385
5600	phos	11178
65125	phos	4776
5599	phos	4089
7465	phos	55796
5578	phos	1975
2263	phos	7812
2932	phos	4760
2185	phos	10273
7465	phos	9203
4751	phos	7117
4067	phos	2212
1019	phos	3190
1457	phos	79760
1020	phos	6196
4752	phos	79684
2444	phos	54439
8986	phos	10963
3717	phos	6628
7465	phos	5315
7443	phos	326
658	phos	8048
1196	phos	5511
9149	phos	4869
6196	phos	84254
369	phos	4154
3932	phos	3560
7525	phos	140809
207	phos	57664
4751	phos	6196
1432	phos	5970
2932	phos	54665
51701	phos	3141
5598	phos	1025
83931	phos	5687
5590	phos	6199
3717	phos	729230
10000	phos	5566
369	phos	23451
2042	phos	7791
84254	phos	51564
5584	phos	4193
5609	phos	9667
2869	phos	28984
4882	phos	54487
8576	phos	10856
84254	phos	5092
5580	phos	3689
5594	phos	4776
9113	phos	5518
6794	phos	2011
6787	phos	1840
54861	phos	9112
9263	phos	27254
5609	phos	56915
3932	phos	10019
7465	phos	26155
5165	phos	94104
5594	phos	1956
9263	phos	2023
5578	phos	158931
1196	phos	6117
3932	phos	64410
9263	phos	25771
5170	phos	7514
7535	phos	11059
660	phos	140809
5595	phos	5599
7297	phos	5610
5595	phos	6721
660	phos	4869
5590	phos	3661
660	phos	4287
5347	phos	5599
8798	phos	51010
5601	phos	7514
65061	phos	867
1459	phos	3190
8550	phos	5979
2185	phos	3306
51231	phos	84330
5594	phos	55746
1456	phos	26528
10188	phos	84254
1022	phos	1869
5058	phos	5518
5594	phos	6188
5058	phos	673
7297	phos	10399
5580	phos	5037
51086	phos	94104
2870	phos	5599
4296	phos	6416
2444	phos	10362
9212	phos	5187
2534	phos	919
149420	phos	3059
5590	phos	1820
5747	phos	87
2263	phos	10657
695	phos	3280
11200	phos	995
10645	phos	7284
8798	phos	54862
9263	phos	867
4638	phos	4760
5601	phos	6663
5578	phos	118
8550	phos	10856
149420	phos	4760
8445	phos	867
6198	phos	55536
6198	phos	1796
7525	phos	7534
369	phos	387082
6787	phos	9112
147746	phos	10133
6416	phos	9406
55359	phos	2017
127933	phos	1027
5609	phos	10856
8576	phos	9341
9212	phos	2017
5602	phos	8853
6792	phos	11200
695	phos	2969
1457	phos	1027
2534	phos	7791
2444	phos	29118
1457	phos	409
51086	phos	8805
2042	phos	55521
5616	phos	4089
9149	phos	84254
10298	phos	23367
5566	phos	863
660	phos	23171
5347	phos	996
2263	phos	2017
9212	phos	6663
5058	phos	1112
152110	phos	30819
23012	phos	5580
1445	phos	10152
7535	phos	1407
5170	phos	10611
8444	phos	54386
2185	phos	80333
6885	phos	1616
6789	phos	4089
83931	phos	9112
6850	phos	8853
5578	phos	26000
4751	phos	5108
5566	phos	79960
122011	phos	55616
207	phos	1112
2872	phos	9112
3932	phos	6300
1459	phos	2017
5599	phos	7529
5602	phos	5609
5603	phos	1111
2872	phos	1977
9212	phos	3020
9212	phos	84254
6195	phos	3661
5170	phos	7535
5170	phos	25836
4342	phos	8805
1025	phos	5430
51086	phos	1616
3480	phos	1398
659	phos	8048
1020	phos	9322
1021	phos	9698
5578	phos	2781
5599	phos	7534
10783	phos	9126
9175	phos	55796
814	phos	1739
8986	phos	9203
2268	phos	301
695	phos	3190
7048	phos	10000
27	phos	2876
8550	phos	602
11040	phos	6196
1195	phos	11243
1452	phos	55616
1019	phos	11269
9020	phos	4760
5566	phos	83714
55681	phos	7531
9263	phos	22916
5578	phos	5338
5566	phos	9391
1457	phos	84991
8550	phos	8853
5566	phos	572
3932	phos	3702
1432	phos	8631
780	phos	4760
8986	phos	9667
7465	phos	4092
4882	phos	11163
127933	phos	127933
10783	phos	6625
11040	phos	94104
1020	phos	81628
6850	phos	2274
1432	phos	1385
27	phos	3141
57118	phos	55616
8428	phos	3141
29110	phos	7531
7867	phos	4618
7048	phos	6663
2264	phos	10980
2042	phos	5536
5580	phos	81628
4342	phos	55796
5594	phos	790
6885	phos	7812
699	phos	378708
7465	phos	7428
284086	phos	64410
8550	phos	5702
10298	phos	867
1021	phos	84254
10494	phos	3141
1196	phos	10923
6789	phos	1407
8798	phos	6050
6196	phos	1445
780	phos	10152
5578	phos	10073
9149	phos	639
127933	phos	4760
2534	phos	1831
5603	phos	4149
5598	phos	4194
6416	phos	5601
3932	phos	921
1019	phos	7515
2185	phos	4217
5058	phos	4149
55681	phos	55536
7048	phos	23294
8569	phos	127933
8576	phos	5511
8550	phos	8805
5894	phos	5610
1021	phos	8048
7465	phos	6426
5562	phos	6300
5595	phos	2887
7465	phos	10848
2932	phos	5663
4752	phos	1820
3717	phos	80306
1457	phos	11124
8986	phos	5687
1021	phos	3141
91754	phos	56478
660	phos	3141
127933	phos	7791
9252	phos	4760
147746	phos	84812
6792	phos	5580
5058	phos	4194
3551	phos	5610
7535	phos	55796
5602	phos	3190
4752	phos	27254
8986	phos	51684
5594	phos	80824
57147	phos	7726
5058	phos	5236
5594	phos	9261
2042	phos	8853
2931	phos	23367
5595	phos	3190
2534	phos	5566
5563	phos	5687
8550	phos	1616
6788	phos	4760
54899	phos	56957
657	phos	3059
1453	phos	4775
1020	phos	7518
8569	phos	1977
1452	phos	2308
5598	phos	9330
8550	phos	5687
6788	phos	5315
51086	phos	867
5753	phos	9112
6732	phos	8576
1022	phos	6945
5578	phos	6722
5594	phos	2017
1457	phos	80010
4882	phos	54862
1196	phos	9533
2268	phos	6256
4752	phos	347344
10645	phos	4760
5605	phos	3297
5584	phos	28984
1019	phos	2597
1020	phos	9775
814	phos	488
8444	phos	26155
5595	phos	4087
3985	phos	11269
6792	phos	55796
2185	phos	1965
207	phos	10248
9263	phos	6427
2932	phos	1809
27102	phos	1965
83694	phos	2869
1020	phos	4193
11200	phos	7157
5580	phos	3141
207	phos	4775
817	phos	2017
7525	phos	5906
2534	phos	3141
1019	phos	9141
7048	phos	10011
2534	phos	5336
51265	phos	646
5058	phos	11331
1025	phos	2113
55681	phos	2934
1025	phos	9324
1454	phos	5527
5601	phos	4089
54861	phos	11035
5594	phos	6256
2869	phos	7124
1445	phos	2768
10420	phos	1072
207	phos	56270
4233	phos	4776
2932	phos	4582
11040	phos	1398
5594	phos	7319
2042	phos	6426
57761	phos	127933
6885	phos	7535
85366	phos	11183
8445	phos	6282
5058	phos	91947
11200	phos	4760
9263	phos	8479
5590	phos	94274
8428	phos	10524
5616	phos	26528
5599	phos	3856
817	phos	5594
2185	phos	10856
814	phos	5331
5753	phos	55796
1457	phos	7515
8986	phos	4760
3055	phos	613
1445	phos	5566
6196	phos	4193
207	phos	7507
4882	phos	5687
2932	phos	55269
6850	phos	116985
5592	phos	672
2932	phos	3190
1445	phos	2017
5747	phos	5829
8576	phos	8208
2185	phos	116985
5566	phos	6601
1432	phos	6850
6787	phos	6663
1196	phos	1956
2534	phos	974
10783	phos	10011
7443	phos	4760
1432	phos	10891
7465	phos	2113
8445	phos	7538
7525	phos	55616
156	phos	3398
1457	phos	5241
1196	phos	10137
11213	phos	7812
9263	phos	9667
207	phos	54984
6195	phos	3059
3702	phos	4760
5594	phos	10018
1454	phos	602
7535	phos	5566
8798	phos	55616
8428	phos	7812
5170	phos	7812
22983	phos	2869
2932	phos	1808
5578	phos	7037
5563	phos	8805
658	phos	4188
5566	phos	51808
