kinase (phosphatase)	phos/deph	substrate
5579	phos	5335
5519	deph	10369
5500	deph	5610
4915	phos	25759
5567	phos	2737
5567	phos	9254
5582	phos	2787
4638	phos	140465
1453	phos	8863
4217	phos	5608
157	phos	440153
5613	phos	5906
5500	deph	779
157	phos	81797
818	phos	286151
1849	deph	5600
2260	phos	5594
5520	deph	10368
157	phos	81399
5500	deph	810
50615	phos	7297
5501	deph	2998
340156	phos	10398
6198	phos	1975
2475	phos	8660
4660	deph	4637
545	phos	11200
157	phos	346525
5595	phos	100137049
340156	phos	4637
3717	phos	5296
85366	phos	4633
5598	phos	6195
6198	phos	3667
5500	deph	10398
3559	phos	3717
1432	phos	2005
79660	deph	805
5530	deph	776
5170	phos	5578
5534	deph	4775
4067	phos	5747
5500	deph	440275
157	phos	284433
55844	deph	25937
5578	phos	54331
156	phos	1236
4067	phos	2214
27102	phos	4792
5500	deph	782
5788	deph	3932
5526	deph	775
7472	phos	8323
5058	phos	5604
5594	phos	8569
157	phos	390064
5563	phos	1408
5595	phos	3725
5520	deph	781
5613	phos	2792
1111	phos	994
5600	phos	2309
5595	phos	7157
5600	phos	3316
207	phos	2309
1432	phos	3725
4690	phos	5058
89780	phos	8324
5566	phos	59284
613	phos	1399
7484	phos	11211
3718	phos	5296
808	phos	5836
27330	phos	3265
5593	phos	148327
7482	phos	8324
3702	phos	5335
2869	phos	2833
5770	deph	3643
5567	phos	1390
6093	phos	4659
5566	phos	468
5499	deph	10488
5534	deph	8881
5528	deph	7137
5584	phos	3993
8792	phos	9103
3572	phos	3716
5293	phos	842
2932	phos	4609
7471	phos	8324
5592	phos	9586
5566	phos	2893
7476	phos	8326
5533	deph	51433
157	phos	128360
1455	phos	2737
5579	phos	55970
5501	deph	779
5593	phos	9569
3702	phos	7410
5058	phos	8874
673	phos	5604
157	phos	219436
5527	deph	779
10000	phos	5894
5564	phos	32
5525	deph	207
5568	phos	84699
6093	phos	8394
9451	phos	4792
5499	deph	5261
84867	deph	5599
6300	phos	4208
5603	phos	8986
5499	deph	10398
1956	phos	6776
5500	deph	84699
5778	deph	6300
5613	phos	6330
80824	deph	5595
91807	phos	29895
5568	phos	10488
5599	phos	8660
5500	deph	5261
157	phos	390142
3551	phos	100132074
5578	phos	150084
5567	phos	7442
7478	phos	8321
817	phos	93589
4214	phos	5608
5520	deph	59285
55012	deph	59283
80824	deph	1432
5568	phos	778
5347	phos	995
5500	deph	27092
6850	phos	7409
8503	phos	5747
5618	phos	3717
8792	phos	2209
5567	phos	2792
6794	phos	2309
5515	deph	5584
5501	deph	778
8517	phos	4794
7478	phos	8323
816	phos	2891
5509	deph	5257
10000	phos	100132074
7189	phos	5600
1147	phos	4791
545	phos	672
5529	deph	55799
5567	phos	27091
5525	deph	10368
3643	phos	8660
5516	deph	5590
157	phos	341152
5595	phos	255189
8440	phos	5063
5516	deph	783
818	phos	778
3581	phos	3716
5516	deph	6199
5579	phos	2782
5581	phos	65108
2773	phos	1432
8767	phos	5602
157	phos	390436
9475	phos	3984
1849	deph	6300
5594	phos	2002
1956	phos	5594
5529	deph	10000
5778	deph	5600
5534	deph	246184
801	phos	5834
6850	phos	10451
55844	deph	207
55012	deph	10369
5501	deph	10488
157	phos	120796
5880	phos	5602
2268	phos	5294
815	phos	6332
5778	deph	1432
6794	phos	100132074
1852	deph	5594
5894	phos	5599
2770	phos	5594
4087	phos	657
7476	phos	2535
2869	phos	3579
7048	phos	4087
51384	phos	11211
157	phos	79339
5522	deph	5584
3480	phos	5594
157	phos	341416
5568	phos	64764
157	phos	144125
5613	phos	10369
4067	phos	2212
5566	phos	116444
11211	phos	2776
5568	phos	2788
5526	deph	10368
8569	phos	468
207	phos	5139
5562	phos	1407
7478	phos	8322
5519	deph	51135
157	phos	127062
5566	phos	493
10000	phos	1326
10298	phos	9459
5523	deph	27091
3953	phos	3716
5568	phos	483
7484	phos	8325
7472	phos	8321
5533	deph	84152
5566	phos	6548
5599	phos	7157
5507	deph	5255
5593	phos	3779
5568	phos	2905
5603	phos	9252
5522	deph	59285
5610	phos	4792
5592	phos	5350
5594	phos	64764
816	phos	59284
6093	phos	10398
55012	deph	10000
816	phos	782
7477	phos	8324
3845	phos	5603
208	phos	2932
6558	phos	109
10000	phos	8517
1454	phos	100132074
5516	deph	27091
207	phos	4217
5534	deph	10393
5568	phos	51764
5499	deph	2902
5583	phos	50848
5580	phos	83700
3716	phos	23533
208	phos	84335
983	phos	57369
409	phos	3577
157	phos	120586
157	phos	26494
5594	phos	9252
5063	phos	91807
131890	phos	1230
5566	phos	3753
10454	phos	4792
2932	phos	2737
2868	phos	155
5516	deph	25937
818	phos	55799
5501	deph	5610
5515	deph	59283
7297	phos	23533
5533	deph	29882
6850	phos	23533
1459	phos	4792
10000	phos	10488
5527	deph	776
3717	phos	23533
5578	phos	8877
5580	phos	59341
10454	phos	8517
5529	deph	59284
5566	phos	466
3716	phos	5295
5568	phos	2906
818	phos	59283
5568	phos	784
9564	phos	5829
5567	phos	84152
3454	phos	3718
2868	phos	2833
5566	phos	1387
5582	phos	7082
157	phos	2826
5567	phos	94235
5568	phos	1080
157	phos	401427
5535	deph	29945
8555	deph	8697
55844	deph	783
91807	phos	10627
5516	deph	782
7189	phos	3665
816	phos	2317
5062	phos	3984
5595	phos	4893
5567	phos	2893
5567	phos	93589
5518	deph	779
5293	phos	2932
156	phos	4988
5523	deph	10368
157	phos	26248
6446	phos	100132074
8767	phos	5594
2534	phos	2207
7475	phos	2535
5533	deph	4776
2534	phos	919
5568	phos	5350
5526	deph	207
816	phos	784
5600	phos	4741
3460	phos	3718
2869	phos	2826
11200	phos	995
7272	phos	8379
2932	phos	2998
157	phos	285659
5599	phos	3726
814	phos	9586
3643	phos	868
5566	phos	778
5568	phos	2785
5518	deph	286151
613	phos	25759
2534	phos	9846
2870	phos	1237
3551	phos	4793
5579	phos	2790
157	phos	196335
4914	phos	10603
157	phos	219438
5515	deph	27092
5528	deph	786
3563	phos	3717
2770	phos	5599
2770	phos	5603
5499	deph	10369
58985	phos	3717
5603	phos	4741
3598	phos	3716
4638	phos	4637
5500	deph	79054
157	phos	391196
208	phos	8517
816	phos	286151
5515	deph	10000
5525	deph	775
5777	deph	919
369	phos	5603
5501	deph	27091
5522	deph	10369
5566	phos	648044
5803	phos	28964
5515	deph	59284
5593	phos	779
4067	phos	5294
5522	deph	782
5568	phos	6332
5594	phos	100137049
5567	phos	781
157	phos	219983
157	phos	26648
2932	phos	1385
7477	phos	11211
81029	phos	8326
131890	phos	6010
1846	deph	5601
5509	deph	51806
131890	phos	10663
3601	phos	3718
85366	phos	93408
28227	deph	27091
1849	deph	5594
5520	deph	9254
6011	phos	2833
89780	phos	8321
53944	phos	2736
5582	phos	6548
5519	deph	781
157	phos	127059
157	phos	390168
5568	phos	2890
157	phos	127385
2872	phos	1977
6416	phos	5601
1847	deph	5600
55012	deph	9254
5578	phos	2775
1017	phos	995
157	phos	143496
157	phos	121130
5568	phos	7408
818	phos	2890
5579	phos	150084
1454	phos	4303
5523	deph	779
1852	deph	1432
5521	deph	775
157	phos	81127
1956	phos	6464
7483	phos	8321
5501	deph	2902
2869	phos	1524
5567	phos	7430
7867	phos	3315
3454	phos	3716
2870	phos	3577
157	phos	79295
5515	deph	10369
5582	phos	5336
5567	phos	59285
5156	phos	6464
5603	phos	2005
5566	phos	10369
157	phos	119774
5566	phos	782
5566	phos	572
10298	phos	8874
6714	phos	1956
5522	deph	10000
5501	deph	2892
157	phos	26339
5602	phos	8471
4916	phos	10019
5568	phos	3784
4087	phos	659
5593	phos	109
7484	phos	7976
5563	phos	2309
6300	phos	4747
157	phos	1237
5518	deph	7137
5500	deph	59284
817	phos	2891
5579	phos	5336
7479	phos	11211
6300	phos	994
8555	deph	51433
816	phos	2890
55844	deph	779
3717	phos	5294
5601	phos	2309
5592	phos	84699
5595	phos	9586
23645	deph	1965
5516	deph	93589
3594	phos	3716
5170	phos	207
5566	phos	2783
5567	phos	2906
10000	phos	1026
4214	phos	1147
894	phos	5925
5500	deph	5257
10454	phos	5609
5522	deph	781
2868	phos	1232
5579	phos	22808
28227	deph	781
85464	deph	1072
157	phos	155
5578	phos	3265
7472	phos	8326
89801	deph	2998
810	phos	5837
5501	deph	148327
5792	deph	8660
55012	deph	782
5533	deph	10393
545	phos	1111
5567	phos	6548
5603	phos	4149
817	phos	4842
5600	phos	8550
5566	phos	5908
53632	phos	2308
8555	deph	29945
157	phos	219959
5507	deph	5260
7006	phos	5336
10645	phos	5564
5568	phos	6324
5579	phos	94235
157	phos	390113
4342	phos	9088
1454	phos	2309
9475	phos	79837
5571	phos	2308
5566	phos	2793
2268	phos	5747
8792	phos	2213
5516	deph	778
5567	phos	51764
340156	phos	29895
5595	phos	6772
5584	phos	3996
5566	phos	55799
157	phos	346517
3460	phos	3717
5595	phos	2099
2868	phos	1524
5520	deph	779
6300	phos	4741
3784	phos	5566
5792	deph	3667
3568	phos	7297
8491	phos	4214
7482	phos	2535
27330	phos	468
157	phos	284383
25	phos	53358
5578	phos	55970
7006	phos	7410
7477	phos	8325
673	phos	5601
5567	phos	2892
9261	phos	3315
64109	phos	3717
157	phos	442194
131890	phos	154
5593	phos	64764
79660	deph	51806
8325	phos	2776
157	phos	390072
157	phos	390275
89780	phos	7976
3581	phos	3717
10459	phos	10393
8569	phos	1977
157	phos	81472
6885	phos	51701
7189	phos	5601
157	phos	127069
5516	deph	58494
5566	phos	359
8792	phos	7305
8900	phos	1871
157	phos	10798
9252	phos	1388
5594	phos	9586
3643	phos	3667
5567	phos	480
9475	phos	6548
5530	deph	25847
5568	phos	7430
5582	phos	2786
8569	phos	253314
5347	phos	286151
5567	phos	64764
90673	deph	808
5801	deph	5601
2770	phos	5595
5525	deph	781
207	phos	9586
5527	deph	781
207	phos	3551
51384	phos	8324
5567	phos	10368
81029	phos	8322
5515	deph	208
5594	phos	4090
8555	deph	51529
56924	phos	8874
2260	phos	5595
6446	phos	23327
5567	phos	148327
157	phos	138881
27102	phos	1965
5521	deph	3654
4914	phos	25759
11200	phos	7157
816	phos	2316
5500	deph	995
5523	deph	7137
3611	phos	10000
7479	phos	8324
5529	deph	5502
6011	phos	6010
1432	phos	100132074
983	phos	1459
5603	phos	4208
5613	phos	481
3055	phos	5291
5518	deph	207
1441	phos	3718
5500	deph	10627
8737	phos	3551
898	phos	51529
5568	phos	6546
816	phos	6262
1017	phos	1457
157	phos	341418
157	phos	26658
5781	deph	27040
55844	deph	10413
5563	phos	2475
3977	phos	3717
5507	deph	163688
157	phos	120066
5500	deph	2902
5602	phos	4303
5567	phos	359
5613	phos	116444
5501	deph	84699
5579	phos	6548
5613	phos	94235
3055	phos	23533
10454	phos	5608
5566	phos	2737
6885	phos	1147
157	phos	26212
5604	phos	5601
157	phos	390197
6300	phos	2308
156	phos	10663
5595	phos	148327
5568	phos	2904
157	phos	391109
5579	phos	51764
815	phos	27091
1432	phos	4747
5747	phos	5829
6195	phos	468
5603	phos	4303
1454	phos	2736
157	phos	441308
5293	phos	207
816	phos	10369
3560	phos	3717
53944	phos	2737
6011	phos	2826
55844	deph	3654
1453	phos	2697
5777	deph	3716
1843	deph	5602
11035	phos	197259
5601	phos	3727
7474	phos	8323
54776	deph	10398
995	deph	983
2870	phos	4988
2932	phos	1808
7479	phos	8325
5501	deph	784
5613	phos	59345
5500	deph	786
3455	phos	3718
5526	deph	779
3581	phos	7297
7786	phos	5609
5525	deph	59284
5595	phos	1388
5520	deph	785
28227	deph	779
5613	phos	3753
816	phos	59283
5894	phos	5595
157	phos	347168
23239	deph	207
7477	phos	2535
5516	deph	27092
6093	phos	3984
5521	deph	782
57144	phos	4638
5528	deph	27091
5532	deph	4775
5594	phos	4286
7297	phos	5294
5595	phos	8569
5582	phos	22808
5580	phos	5894
1852	deph	5595
5499	deph	785
157	phos	283092
983	phos	1460
5294	phos	5747
5728	deph	5747
80824	deph	5603
5519	deph	776
157	phos	219982
4914	phos	10019
5590	phos	8660
157	phos	138802
1457	phos	1499
1147	phos	2309
3480	phos	5291
5566	phos	59283
5521	deph	785
6794	phos	5564
5593	phos	5330
90673	deph	801
4660	deph	140465
5566	phos	481
5062	phos	91807
5062	phos	9459
815	phos	6772
5499	deph	1386
5568	phos	5924
6196	phos	4893
8517	phos	8660
157	phos	81392
157	phos	26493
5568	phos	7137
2872	phos	9470
5568	phos	781
3454	phos	3717
6093	phos	29895
9113	phos	25937
409	phos	7852
1020	phos	84152
5519	deph	286151
7297	phos	5295
4660	deph	29895
157	phos	219957
51384	phos	8323
5515	deph	6198
5509	deph	5261
4087	phos	4086
5063	phos	3984
894	phos	5934
5613	phos	2890
156	phos	3577
5523	deph	784
4214	phos	5604
157	phos	120776
5516	deph	775
1848	deph	5594
5595	phos	2309
8851	phos	4137
5058	phos	6416
10298	phos	340156
805	phos	5834
84254	phos	5571
5501	deph	805
4916	phos	10603
5535	deph	51529
5501	deph	59284
1326	phos	5605
5881	phos	5599
5613	phos	7494
5567	phos	6331
157	phos	219479
5578	phos	50848
9180	phos	3718
192111	deph	10059
5058	phos	4638
6732	phos	10929
10645	phos	5563
157	phos	219453
157	phos	8390
207	phos	468
5528	deph	781
5566	phos	6262
5518	deph	208
3601	phos	3717
816	phos	995
51384	phos	7855
5613	phos	2788
5566	phos	2904
5516	deph	5502
22800	phos	5594
3590	phos	3717
5593	phos	90993
157	phos	121275
5568	phos	1385
817	phos	783
5568	phos	5132
5536	deph	4217
6093	phos	5499
993	deph	1017
4893	phos	5594
10454	phos	6416
5520	deph	207
11184	phos	4296
9475	phos	5499
5295	phos	2932
200186	phos	207
5520	deph	25937
157	phos	338674
4067	phos	5293
157	phos	26219
5294	phos	207
5567	phos	784
6850	phos	5294
5603	phos	4744
5532	deph	51434
157	phos	390058
5567	phos	2932
91807	phos	93408
8556	deph	29945
5170	phos	1147
5567	phos	9586
5566	phos	2790
5593	phos	84699
5568	phos	27091
5529	deph	786
5578	phos	2792
5516	deph	9254
5170	phos	3551
2690	phos	7297
5594	phos	57369
5565	phos	32
5501	deph	4637
28227	deph	10368
5500	deph	27102
5063	phos	9459
5526	deph	27092
149233	phos	3717
5566	phos	148327
55012	deph	6262
53832	phos	3717
207	phos	5208
89801	deph	808
6011	phos	2829
7474	phos	8325
5567	phos	7408
7474	phos	8324
1845	deph	5602
659	phos	4086
7476	phos	8321
5530	deph	4773
5603	phos	2353
5566	phos	2770
5500	deph	58498
7484	phos	8321
5594	phos	2872
8556	deph	8697
2773	phos	5600
2770	phos	6300
3455	phos	3717
157	phos	390323
157	phos	254879
5499	deph	93589
6885	phos	8517
5522	deph	51135
207	phos	64764
5521	deph	59283
3784	phos	115
5593	phos	7408
51422	phos	1407
816	phos	786
4638	phos	10398
5567	phos	493
157	phos	121364
5595	phos	2002
5499	deph	4636
5519	deph	10368
10000	phos	4193
5521	deph	55799
5595	phos	283748
5529	deph	782
55012	deph	93589
5255	phos	5836
5518	deph	784
5499	deph	2906
3265	phos	5595
4893	phos	5595
5594	phos	2353
6885	phos	3551
5562	phos	31
3643	phos	53358
5563	phos	32
208	phos	90993
6885	phos	5604
55012	deph	5502
131890	phos	1234
5567	phos	490
55844	deph	51135
207	phos	100132074
5568	phos	779
5566	phos	2786
5567	phos	5132
2534	phos	5361
5579	phos	3845
5567	phos	2903
5894	phos	5601
5599	phos	2353
4914	phos	399694
5293	phos	208
818	phos	27091
5522	deph	27092
2868	phos	1237
28227	deph	784
85366	phos	29895
8737	phos	1147
80326	phos	8322
116379	phos	7297
5613	phos	55799
5516	deph	785
84867	deph	5594
5568	phos	2902
1850	deph	5602
5170	phos	6446
818	phos	6772
1432	phos	2355
5600	phos	7157
3845	phos	1432
5500	deph	6262
5501	deph	2906
91	phos	4088
5568	phos	55970
1147	phos	100132074
5595	phos	1385
5499	phos	10398
5568	phos	6323
2771	phos	5599
85366	phos	4636
5501	deph	116443
5562	phos	2475
10459	phos	29945
57144	phos	5894
1844	deph	5602
2776	phos	1855
5526	deph	59285
5522	deph	783
149233	phos	3718
5521	deph	6262
5568	phos	2792
56924	phos	3984
54361	phos	8323
5613	phos	1499
23118	phos	5608
5606	phos	5600
7297	phos	8503
91807	phos	140465
1432	phos	3316
5516	deph	59285
28227	deph	207
5777	deph	10451
5527	deph	10368
53833	phos	3717
80326	phos	2535
2870	phos	1233
3717	phos	6774
3953	phos	7297
157	phos	338662
6885	phos	5594
5593	phos	10488
5595	phos	27330
3977	phos	7297
5509	deph	808
6850	phos	27040
5500	deph	1388
157	phos	390075
10110	phos	2309
5566	phos	477
5518	deph	59283
6732	phos	6426
157	phos	119764
157	phos	391192
2869	phos	154
157	phos	390445
157	phos	390882
5523	deph	93589
9252	phos	1385
5532	deph	25847
5501	deph	10368
5501	deph	90993
84867	deph	5603
4342	phos	5605
5499	deph	776
5583	phos	59341
2535	phos	2776
4660	deph	10627
157	phos	283297
3718	phos	6774
5593	phos	775
2869	phos	1234
5526	deph	785
1848	deph	5602
5499	deph	27092
3561	phos	3717
3597	phos	3718
5594	phos	8605
157	phos	401666
6093	phos	23396
5500	deph	2890
5527	deph	59284
5582	phos	2775
28227	deph	776
10746	phos	5608
7473	phos	8323
3643	phos	8471
5578	phos	5502
2064	phos	5336
90	phos	4087
5519	deph	785
5613	phos	2735
814	phos	468
156	phos	2829
3572	phos	3718
157	phos	119694
8322	phos	2775
208	phos	1027
5613	phos	486
3055	phos	5294
5578	phos	2771
5500	deph	10488
1441	phos	3717
157	phos	392392
64109	phos	3718
5291	phos	2932
5613	phos	93589
51701	phos	6932
5568	phos	478
4067	phos	2209
157	phos	403239
5523	deph	775
5521	deph	779
23678	phos	4303
5578	phos	2785
5613	phos	2905
157	phos	219956
1459	phos	708
5593	phos	7225
6558	phos	5567
157	phos	79473
4638	phos	93408
2475	phos	6198
54361	phos	8321
54434	deph	1072
5613	phos	2793
369	phos	5595
5567	phos	2736
7480	phos	11211
2475	phos	208
3454	phos	7297
1432	phos	4208
5499	deph	2997
5600	phos	3727
1849	deph	5601
3570	phos	7297
3784	phos	109
